Unique Id,Title,Category,Source,Owner,Status,Proposed URL
,What is Herbal Tea?,About Herbal Tea,http://en.wikipedia.org/wiki/Herbal_tea,Jessica,Needs editing,www.tisane.com/about
,A history,About Herbal Tea,http://www.teavana.com/tea-info/history-of-tea,Jessica,Needs editing,www.tisane.com/about
,Medincinal uses,Health,http://bristen.com/teasChart.htm,Jessica,Needs editing,www.tisane.com/health
,Common Ingredients,About Herbal Tea,http://www.mindbodygreen.com/0-4350/15-Best-Herbal-Tea-Ingredients-for-Healing.html,Jessica,Needs editing,www.tisane.com/about
,Teaware,making/Drinking,http://www.rareteacompany.com/shop/6/teaware/,Jessica,Needs editing,www.tisane.com/making-and-drinking
,How to brew,Making/Drinking,http://www.wikihow.com/Make-Herbal-Tea,Jessica,Needs editing,www.tisane.com/making-and-drinking
,Where to buy,Making/Drinking,http://www.davidstea.com/,Jessica,Needs editing,www.tisane.com/making-and-drinking
,At home recipes,Making/Drinking,http://www.countryliving.com/cooking/about-food/herbal-teas-0906_2,Jessica,Needs editing,www.tisane.com/making-and-drinking
,Culture,About Herbal Tea,http://en.wikipedia.org/wiki/Herbal_tea,Jessica,Needs editing,www.tisane.com/about
,Benefits,Health,http://www.besthealthmag.ca/eat-well/nutrition/7-herbal-teas-that-will-make-you-healthy,Jessica,Needs editing,www.tisane.com/health
,Recipes for the enthusiast,Making/Drinking,http://www.anniesremedy.com/chart_remedy.php?prep_ID=1,Jessica,Needs editing,www.tisane.com/making-and-drinking
, Make your own/What you will need,Making/Drinking,http://tea.lifetips.com/cat/66146/pairing-tea-with-food/index.html,Jessica,Needs editing,www.tisane.com/making-and-drinking
,How to choose,Making/Drinking,http://gulfnews.com/life-style/health/herbal-teas-5-things-you-should-know-1.1209990,Jessica,Needs editing,www.tisane.com/making-and-drinking
,Varieties,About Herbal Tea,http://www.teavana.com/tea-info/types-of-tea,Jessica,Needs editing,www.tisane.com/about
,Make your own,Making/Drinking,http://www.motherearthnews.com/real-food/make-your-own-herbal-tea-zmaz77mjzbon.aspx#axzz2ei2k45Nk,Jessica,Needs editing,www.tisane.com/making-and-drinking
